study,transition,ligand,receptor,sender,receiver,log2FC,pLig,pRec,score_sham,score_mcao,pathway,sig
GSE197731_KO,48h,Cxcl10,Sdc1,Microglia,Macrophage,1.1587715,4.029052e-06,0.08182392,0.023087565,0.05277964,Chemokine,True
GSE197731_KO,24h,Cxcl12,Cxcr4,Pericyte,Endothelial,-2.6302629,0.11881056,0.8694954,0.10307858,0.015810218,Chemokine,False
GSE197731_KO,48h,Cxcl12,Cxcr4,Endothelial,Endothelial,1.7636032,0.4555157,0.06648137,0.16459367,0.56126523,Chemokine,False
GSE197731_KO,24h,Cxcl16,Cxcr6,Macrophage,NK,-2.7971632,2.6934309e-11,4.699259e-13,0.25067183,0.035208,Chemokine,True
GSE197731_KO,48h,Cxcl16,Cxcr6,Endothelial,Tcell,-2.30413,0.24391633,0.00038144173,0.3405149,0.068150826,Chemokine,True
GSE197731_KO,24h,Cxcl2,Cxcr2,NK,Pericyte,4.4231,4.8225997e-30,0.17387402,0.018275363,0.41251224,Chemokine,True
GSE197731_KO,48h,Cxcl2,Cxcr2,NK,Endothelial,5.1536217,3.7646385e-25,0.018455606,0.026807852,0.98883337,Chemokine,True
GSE197731_KO,24h,Epha2,Efna1,Pericyte,Oligodendrocyte,-1.8436073,0.17360704,0.9036366,0.0172802,0.0040933066,Ephrin,False
GSE197731_KO,48h,Epha2,Efna1,Microglia,Endothelial,-0.48212844,0.0881899,0.51051223,0.0321502,0.022732912,Ephrin,False
GSE197731_KO,24h,Fgf1,Fgfr1,Oligodendrocyte,Endothelial,-3.028125,0.13746645,0.57112545,0.11346914,0.013032399,FGF,False
GSE197731_KO,48h,Fgf1,Fgfr1,Oligodendrocyte,Endothelial,-3.3919823,0.02582018,0.5173969,0.11346914,0.009904355,FGF,True
GSE197731_KO,24h,Fn1,Itga5,Pericyte,Microglia,3.7164311,0.01276028,0.0,0.017046804,0.2362234,ECM,True
GSE197731_KO,48h,Fn1,Itga5,Microglia,Microglia,3.5481164,0.0,0.0,0.017017659,0.20975982,ECM,True
GSE197731_KO,24h,Fn1,Itgb1,Pericyte,Endothelial,2.465802,0.01276028,0.3002603,0.17957968,0.9965835,ECM,True
GSE197731_KO,48h,Fn1,Itgb1,Microglia,Oligodendrocyte,2.063646,0.0,0.8778139,0.06369515,0.26945257,ECM,True
GSE197731_KO,24h,Gas6,Axl,Endothelial,Pericyte,-1.0466039,0.4826224,0.46958724,0.38687196,0.18677129,Gas6,False
GSE197731_KO,24h,Hmgb1,Tlr4,Oligodendrocyte,Microglia,-0.8130821,0.0037452923,4.577718e-05,0.43567124,0.2475378,Alarmin,True
GSE197731_KO,48h,Hmgb1,Tlr4,Endothelial,Oligodendrocyte,1.256896,0.17080188,0.81577146,0.17700939,0.42440864,Alarmin,False
GSE197731_KO,24h,Hpse,Sdc1,Macrophage,Macrophage,0.6050204,5.6099474e-05,1.693111e-08,0.009074971,0.014324034,ECM,True
GSE197731_KO,48h,Hpse,Sdc1,Macrophage,Macrophage,0.08966933,0.0033732683,0.08182392,0.009074971,0.009721042,ECM,False
GSE197731_KO,24h,Icam1,Itgal,Endothelial,Pericyte,2.239333,0.04804837,0.31345874,0.035069715,0.16931349,Adhesion,True
GSE197731_KO,48h,Icam1,Itgal,Oligodendrocyte,Endothelial,3.3047688,0.0022868959,0.08255181,0.03328657,0.33781186,Adhesion,True
GSE197731_KO,24h,Icam1,Itgb2,Endothelial,NK,1.5776712,0.04804837,0.07104481,0.30108038,0.90067255,Adhesion,True
