tf,target,dorothea_weight,dorothea_sign,a_aff,r_24h,r_raw_24h,r_sham,r_raw_sham,dW_sham_24h,dW_raw_sham_24h,p_sham_24h,fdr_bh_sham_24h,q_pooled_sham_24h
Jund,Gbe1,0.3333333333333333,activation,-0.15539677849449798,0.017568791285157204,0.059227701276540756,0.04830431565642357,0.03759384900331497,-0.030735524371266365,0.021633852273225784,0.31840796019900497,0.9684182794686481,0.9688838153221715
Jund,Ets2,0.3333333333333333,activation,-0.01489191530460267,-0.05497698113322258,-0.007687762845307589,-0.01009159255772829,0.02064868062734604,-0.044885389506816864,-0.02833644300699234,0.1890547263681592,0.9369536411653202,0.9278684470820969
Jund,Runx2,0.3333333333333333,activation,0.010180852044141183,-0.017702406272292137,-0.031796637922525406,0.02192891389131546,-0.0011911874171346426,-0.03963132202625275,-0.03060545027256012,0.2835820895522388,0.9680351782165659,0.9531167883211679
Jund,Tgif1,0.3333333333333333,activation,0.2644871593494274,-0.0023862652014940977,-0.011664840392768383,0.0177556611597538,0.04813568666577339,-0.020141925662755966,-0.05980052798986435,0.5373134328358209,0.9810040705563093,0.9826158266491081
Jund,Ctnna1,0.3333333333333333,activation,-0.3570090525391622,-0.04514504596590996,0.022107509896159172,0.01919296570122242,0.02161198854446411,-0.06433801352977753,0.0004955213516950607,0.07960199004975124,0.9067796351981672,0.8702170212765957
Jund,Fosl1,1.0,activation,0.002499939701467818,0.015293632633984089,0.00994075182825327,-0.05244360491633415,0.0,0.06773723661899567,0.00994075182825327,0.009950248756218905,0.8471230802509193,0.8058307926829268
Jund,Anxa1,0.3333333333333333,activation,0.08634081797747112,-0.05721583962440491,-0.07470249384641647,-0.0008655974525026977,-0.023677123710513115,-0.05635024234652519,-0.05102536827325821,0.06467661691542288,0.898190783670301,0.857535
Nr2f6,Plcb1,0.3333333333333333,activation,-0.01196746194164357,0.02407502569258213,0.030638661235570908,-0.01029611099511385,-0.00625690957531333,0.034371137619018555,0.036895569413900375,0.3482587064676617,0.9726283895196863,0.9688313841857218
Nr2f6,Rbpj,0.3333333333333333,activation,0.02290611006126707,0.010625247843563557,0.01531935390084982,-0.025857364758849144,-0.022553538903594017,0.036482613533735275,0.03787289187312126,0.27860696517412936,0.9674968098986337,0.9642000455166135
Nr2f6,Sfxn5,0.3333333333333333,activation,0.0029832521896712857,-0.0037542954087257385,-0.012331214733421803,0.009037619456648827,0.0021695741452276707,-0.012791914865374565,-0.01450078934431076,0.6467661691542289,0.9897032372571063,0.9910795454545455
Nr2f6,Phactr2,0.3333333333333333,activation,-0.005304081313661952,-0.027181008830666542,-0.018326733261346817,-0.005575237795710564,0.006315325386822224,-0.02160577103495598,-0.024642057716846466,0.4975124378109453,0.977367988250371,0.9776665293228952
Nr2f6,Hivep2,0.3333333333333333,activation,0.002765788785866328,0.008858740329742432,0.009499765001237392,-0.023214587941765785,-0.015503828413784504,0.03207332640886307,0.025003593415021896,0.31840796019900497,0.9684182794686481,0.9673782625633035
Nr2f6,Arid5b,0.3333333333333333,activation,-0.006913339846973549,0.04384765774011612,0.05195910111069679,0.004758783150464296,0.01125924289226532,0.03908887505531311,0.04069985821843147,0.30845771144278605,0.9684182794686481,0.9688313841857218
Nr2f6,Agpat3,0.5,activation,0.009563440023760411,0.006414087489247322,0.01106283813714981,0.016521645709872246,0.023790545761585236,-0.010107558220624924,-0.012727707624435425,0.7512437810945274,0.9902517969061008,0.9910795454545455
Nr2f6,Lsm4,0.3333333333333333,activation,0.024492241613630998,-0.006036411039531231,0.005576604045927525,-0.02807287499308586,-0.005331963300704956,0.022036463022232056,0.01090856734663248,0.5024875621890548,0.9808682444475443,0.979267146692702
Nr2f6,Gpt2,0.3333333333333333,activation,0.0161021846051633,0.07662457227706909,0.07245051115751266,-0.02594088949263096,-0.024828404188156128,0.1025654599070549,0.09727891534566879,0.01990049751243781,0.8587914422378466,0.8058307926829268
Nr2f6,Vps54,0.3333333333333333,activation,0.003837866994033741,0.011688812635838985,0.012895898893475533,0.01272495649755001,0.017395764589309692,-0.0010361438617110252,-0.00449986569583416,0.9800995024875622,0.9976205087826963,0.9975490575781049
Nr2f6,Myo18a,0.3333333333333333,activation,-0.005969910776137534,-0.025058582425117493,-0.019919881597161293,0.03956007957458496,0.04532672092318535,-0.06461866199970245,-0.06524660438299179,0.05472636815920398,0.8792703150912107,0.8646127783155857
Nr2f6,Aspscr1,0.3333333333333333,activation,-0.0026148505681141644,0.016998829320073128,0.025132866576313972,-0.02502998150885105,-0.02324909158051014,0.04202881082892418,0.04838195815682411,0.15422885572139303,0.9328166119210894,0.9217030233448144
Nr2f6,Rab31,0.3333333333333333,activation,0.01074978833539397,0.006032468285411596,-0.0006825068267062306,-0.010810479521751404,-0.010766388848423958,0.016842948272824287,0.010083882138133049,0.5472636815920398,0.9824530795483959,0.9864735421166306
Nr2f6,Ttc7,0.3333333333333333,activation,0.00452738395040666,-0.01566077396273613,-0.021808143705129623,0.008264684118330479,0.003488705726340413,-0.023925457149744034,-0.025296850129961967,0.3880597014925373,0.9736445509677888,0.9692205570939892
Klf2,Thbd,1.0,activation,-0.5102176674262566,0.030848044902086258,0.20571237802505493,0.025371912866830826,0.16047337651252747,0.005476132035255432,0.045239001512527466,0.8308457711442786,0.9921856608487476,0.9910795454545455
Klf2,Nos3,1.0,activation,-0.4391856964802127,-0.01290485542267561,0.17828668653964996,0.024525977671146393,0.13790464401245117,-0.03743083402514458,0.04038204252719879,0.16417910447761194,0.9328493549661918,0.9217030233448144
Smad1,Zeb2,0.5,activation,0.043904272965522545,0.016774386167526245,0.007278339006006718,-0.05305178835988045,-0.05198671668767929,0.0698261708021164,0.059265054762363434,0.014925373134328358,0.8587914422378466,0.8058307926829268
Smad1,Tanc1,0.3333333333333333,activation,-0.030245175860483812,0.004764680750668049,0.029303044080734253,0.05475623160600662,0.07134313136339188,-0.04999155178666115,-0.04204008728265762,0.23383084577114427,0.9573863562480333,0.9428443026964337
Smad1,Lyn,0.3333333333333333,activation,0.03355870983555524,-0.017210369929671288,-0.033136311918497086,0.027021437883377075,0.025349073112010956,-0.04423180967569351,-0.05848538503050804,0.14925373134328357,0.9328166119210894,0.9278684470820969
Smad1,Arid1a,0.3333333333333333,activation,-0.0023631445074931067,0.0005253467243164778,0.013815117068588734,0.011631155386567116,0.02033761329948902,-0.011105808429419994,-0.006522496230900288,0.7860696517412935,0.9902517969061008,0.9910795454545455
Smad1,Id3,1.0,activation,-0.1455695417991743,0.017635976895689964,0.08337461203336716,-0.0204621534794569,0.029305074363946915,0.038098130375146866,0.05406953766942024,0.17412935323383086,0.9346008133880895,0.9428443026964337
Smad1,Spp1,1.0,activation,0.19082990226773172,-0.022951174527406693,-0.012584698386490345,-0.00805303081870079,-0.028816990554332733,-0.014898143708705902,0.016232293099164963,0.6368159203980099,0.9879886494042612,0.9910795454545455
Smad1,Gdf15,0.5,activation,0.003098807791197318,0.01774519495666027,0.018575267866253853,-0.009177007712423801,-0.013026918284595013,0.026922203600406647,0.03160218521952629,0.42786069651741293,0.9736445509677888,0.9731327275435722
Smad1,Arhgef3,0.3333333333333333,activation,-0.008419901881290043,0.017323268577456474,0.03318217396736145,-0.018142851069569588,-0.0013426204677671194,0.03546611964702606,0.03452479466795921,0.35323383084577115,0.9736445509677888,0.9688313841857218
Smad1,Ctnnb1,0.3333333333333333,activation,-0.04138320626359583,0.04651123285293579,0.06976538151502609,0.017347317188978195,0.046647049486637115,0.029163915663957596,0.023118332028388977,0.4079601990049751,0.9736445509677888,0.9738439518496771
